iter	Logloss
0	0.6533054894
1	0.6166748592
2	0.5869215444
3	0.5597035476
4	0.5358522656
5	0.5124737366
6	0.4918688994
7	0.4752657602
8	0.4568177446
9	0.4398995151
10	0.4254060295
11	0.4139419409
12	0.4019338485
13	0.3925505755
14	0.3827479864
15	0.3729719319
16	0.364855978
17	0.3571739766
18	0.3487936266
19	0.3410516645
20	0.3337773528
21	0.3278350963
22	0.3210638091
23	0.3154014711
24	0.3100711981
25	0.3031650853
26	0.2956271605
27	0.2901060015
28	0.2847819528
29	0.2807091224
30	0.2767003502
31	0.2714878553
32	0.2673132397
33	0.263358643
34	0.2594084131
35	0.2560846557
36	0.2526036449
37	0.2481703364
38	0.2464770053
39	0.2433736335
40	0.2404190038
41	0.2362093053
42	0.2320684988
43	0.2292310669
44	0.2261224296
45	0.2225734134
46	0.2196886403
47	0.2178567355
48	0.2154347025
49	0.2125856399
50	0.2111386402
51	0.2085022653
52	0.2062668352
53	0.203670052
54	0.2015918795
55	0.1999054719
56	0.1975795143
57	0.1959801668
58	0.1937446549
59	0.1915613531
60	0.1901047787
61	0.1877968059
62	0.1855707223
63	0.1831663056
64	0.1819976682
65	0.180844986
66	0.1793238075
67	0.1770893593
68	0.1755769092
69	0.1743696776
70	0.173374992
71	0.1718053311
72	0.1701014984
73	0.1687538221
74	0.1675604398
75	0.1652803318
76	0.1639905652
77	0.1620902151
78	0.1609264322
79	0.1589587092
80	0.1567255328
81	0.1556333292
82	0.1539712875
83	0.1524992853
84	0.1507240029
85	0.149531849
86	0.1479219906
87	0.1464965064
88	0.1454569199
89	0.1436244799
90	0.142529531
91	0.1416057704
92	0.140528205
93	0.1395193589
94	0.1388537025
95	0.1374996408
96	0.1365189939
97	0.1352414236
98	0.13393761
99	0.1330343366
