iter	Passed	Remaining
0	16	1612
1	29	1442
2	42	1375
3	53	1285
4	64	1220
5	75	1176
6	85	1140
7	95	1103
8	108	1097
9	118	1066
10	128	1041
11	139	1019
12	150	1007
13	161	991
14	171	972
15	181	954
16	192	937
17	203	928
18	215	918
19	225	902
20	235	887
21	253	898
22	263	882
23	272	864
24	281	845
25	291	828
26	300	811
27	309	796
28	318	780
29	328	765
30	337	750
31	346	736
32	355	722
33	365	708
34	373	694
35	382	680
36	392	668
37	402	656
38	411	643
39	420	630
40	430	618
41	439	606
42	448	594
43	457	582
44	467	571
45	476	559
46	485	547
47	500	542
48	509	530
49	518	518
50	527	507
51	537	496
52	546	484
53	556	474
54	566	463
55	576	453
56	586	442
57	596	431
58	606	421
59	616	411
60	626	400
61	636	390
62	647	380
63	656	369
64	666	358
65	676	348
66	685	337
67	695	327
68	704	316
69	714	306
70	724	295
71	733	285
72	745	275
73	755	265
74	765	255
75	775	244
76	784	234
77	794	224
78	804	213
79	813	203
80	823	193
81	833	182
82	843	172
83	853	162
84	862	152
85	872	141
86	881	131
87	892	121
88	902	111
89	912	101
90	921	91
91	931	81
92	941	70
93	950	60
94	960	50
95	970	40
96	980	30
97	989	20
98	1005	10
99	1015	0
